country,year,co2-emissions,coal-lignite,electricity,natural-gas,oil-products,renewables,renewables-wind-solar,total-energy
Algeria,1990,50.118889614714014,1.065,12.555,14.602868421052634,8.072358570960342,0.8383010432190761,0.0,21.166733786127384
Algeria,1991,53.2211214219557,1.042,12.868,15.80484210526316,8.484124221566699,1.689247621793024,0.0,23.16567040767867
Algeria,1992,55.90624516276496,0.975,13.962,16.234184210526312,9.088171091445426,1.088264245871158,0.0,24.170773449501343
Algeria,1993,58.58592468089135,0.779,13.905,18.92892105263158,8.416735496558506,1.818181818181818,0.0,26.026683664283908
Algeria,1994,57.65510554219013,0.882,14.251,19.12084210526316,7.718124221566699,0.8346741753821391,0.0,27.025514676126
Algeria,1995,57.06650243444736,0.771,14.873,19.167131578947373,7.424627990822681,0.9789996956477632,0.0,25.903466932704973
Algeria,1996,55.353384657771805,0.581,15.444,18.80802631578948,7.293714847590954,0.6294180304057321,0.0,25.503388298494453
Algeria,1997,55.82981698928329,0.541,15.685,19.628000000000004,7.050110455588332,0.349015775513053,0.0,26.959642585360115
Algeria,1998,59.62229889609602,0.8200000000000001,16.676,20.438736842105264,7.524063585709604,0.423459665466864,0.0,28.94512758977421
Algeria,1999,63.30533519122689,0.854,17.973,21.644578947368423,7.922344149459193,0.405613693518293,0.0,26.404942813458423
Algeria,2000,75.71755133549891,0.772999999999999,19.566,25.98718421052632,9.58588921665028,0.212498032425625,0.0,31.484868622669
Algeria,2001,63.839903545121786,0.8260000000000001,20.124,21.66789473684211,8.310452966240577,0.259164663461538,0.0,28.301836816090027
Algeria,2002,66.64830458010267,1.025,21.197,22.24347364210527,9.127279252704032,0.206170651426917,0.0,29.6663734848708
Algeria,2003,68.18657788811933,1.1,23.158,22.67536844278947,9.451647984267453,0.8961482533563281,0.0,30.923781171104807
Algeria,2004,71.65640286694061,0.763,24.106,23.77115791671054,9.922647984267453,0.803199999999999,0.0,31.950261602877177
Algeria,2005,75.41497361216321,0.936,25.752,23.667157894736835,10.927104228121928,1.688212927756653,0.0,31.08388146784628
Algeria,2006,79.99881066699517,1.065,26.925,26.370552631578946,10.504,0.6188610685289271,0.0,34.77630057456898
Algeria,2007,84.07532924847588,1.196,28.539,27.361789473684222,11.656,0.607592214216582,0.0,36.9025645665305
Algeria,2008,87.29340241691203,1.195,30.541,27.41839473684212,12.969,0.7033502336216321,0.0,37.336496994296354
Algeria,2009,93.48282064031112,0.646,28.476,28.716131578947365,14.004,0.7947845510506221,0.0,40.74649954095386
Algeria,2010,94.55037024205107,0.509,34.069,28.50692105263158,14.113,0.380460926225565,0.0,39.9796984683975
Algeria,2011,101.7487678766892,0.439,36.639,30.8601052631579,14.83,0.9800093706075272,0.0,41.712492021169005
Algeria,2012,111.06792762689606,0.434,41.527,35.146368421052635,16.268,1.083680331724654,0.0,45.83312577866373
Algeria,2013,114.5097857001808,0.302,43.908,35.97797368421052,17.171,0.5510101853397891,0.0,47.4262002604377
Algeria,2014,122.28786042140337,0.226,46.499,39.32289473684211,17.752,0.607855008376678,0.308690678730703,51.5987601296037
Algeria,2015,129.31887909049595,0.214,50.985,42.25363157894736,18.215,0.473878210017126,0.262971536858582,53.99410030562712
Algeria,2016,125.9825285282409,0.0,53.1,41.83051199999999,17.854,0.605557626439166,0.5042796958848801,53.47352339104862
Algeria,2017,128.4321401083162,0.3642,57.334,43.274281578947374,17.402,0.8354589235984581,0.7617922573702841,55.519999280721215
Algeria,2018,135.12339068711324,0.6037,58.967,46.91967631578946,17.8082,1.019674752842684,0.8670561701605881,58.861424931140434
Algeria,2019,139.72791006644837,0.501040497586251,63.29599999999999,48.41480263157895,18.3063,1.030404348769978,0.8439724227932651,61.25773481624751
Algeria,2020,130.66490405401566,0.226259502413748,59.81399999999999,46.52843684210527,15.990850999999996,0.912897039464541,0.8502348568497591,57.22579730211774
Algeria,2021,140.40309893777385,0.4609,64.42,51.1319,16.194795000000003,0.7752573456219041,0.764717593188977,61.96104218526621
Algeria,2022,149.563278727238,0.292880999999999,70.31501600000001,54.19541560526314,17.803222,0.7464439780032771,0.7284643886243031,66.13389246823635
Algeria,2023,149.41033569206502,0.260507102490116,74.35481899237114,55.33443868344377,18.6028609157444,0.7093453590924901,0.678255433103776,64.17887024600678
Algeria,2024,149.67837644677064,0.260507102490116,78.76443932668842,56.28302906087424,18.00044280765639,0.6707036586807,0.641307361317988,60.31782778570484
Argentina,1990,102.32442967685856,1.159821697133379,40.903,21.94257596266458,19.5684964,35.83004301962402,0.0,45.39706534480613
Argentina,1991,98.6737451259025,1.142076366063769,41.864,21.63992230542641,18.8517136,30.58577560686797,0.0,47.97052663185535
Argentina,1992,107.76469521721116,1.411,44.721,23.800455300422325,20.8149353,34.95992749631262,0.0,49.70799950953244
Argentina,1993,111.67607376617649,1.238000035124396,48.56,24.93689187635305,21.3657166,39.22158108261004,0.0,48.45330827865278
Argentina,1994,116.18338129965818,1.717000035124396,52.495,25.39812152819676,21.7971259,42.30277380263679,0.0,49.94700228811973
Argentina,1995,115.89207129357686,1.571999964875603,55.796,26.258421354296058,21.5165016,40.40098382648878,0.0,53.02865928722657
Argentina,1996,125.74490415116333,1.54,59.105,31.783656010221097,21.4424249,33.40104718033819,0.014305742324969,55.91330463705163
Argentina,1997,121.75759181280428,1.389999964875603,63.032,30.611193418035988,21.0597182,39.227555981647605,0.02054372389235,58.46186450271584
Argentina,1998,127.0275611544902,1.408999999999999,67.92,31.6557926977322,22.2879246,36.38390458794456,0.044321478457075,59.75736126416094
Argentina,1999,134.12246841598602,1.4769999648756031,70.871,34.44783428682968,22.6589933,27.39692277369205,0.043115660839893,62.344538576904114
Argentina,2000,134.1362514882787,1.199000035124396,74.512,36.33372741384817,22.648,33.12668161434977,0.039237668161434,61.66672111010448
Argentina,2001,119.2963033423485,0.9931085108062192,75.898,33.97266652234092,19.409,41.7585580798016,0.054249147513396,58.25755725704788
Argentina,2002,111.75693043171836,0.810000441691832,74.162,33.26197847535224,17.381,43.30021750631944,0.085826817941332,54.52196677564459
Argentina,2003,120.14070304073157,0.923999999999999,79.567,37.08804992014764,18.135,37.74471163709791,0.084225075316653,58.83955142526149
Argentina,2004,135.77229675969463,1.116000035124396,85.247,40.237080803492205,21.049,31.689607021743463,0.071813285457809,67.49510566630642
Argentina,2005,142.75598017451333,1.317999965384652,90.276,41.121087411718776,22.902,33.27790907307595,0.070058755943317,69.00454537487813
Argentina,2006,148.79771223606187,1.454000034615347,98.681,42.77091313837528,24.667,34.62329748170525,0.060765471323037,73.87182787653441
Argentina,2007,153.79819187114754,1.413999964875603,97.617,45.27507894736842,23.933,30.075851120127005,0.05663302726741,73.55019608600327
Argentina,2008,164.1702677131434,1.488999930260256,107.046,46.008342105263154,26.238,26.538830611759494,0.03444684114265,77.02861609587455
Argentina,2009,154.86165888924816,1.220000034615347,106.381,45.193026315789474,24.78,29.176657287960712,0.029489633184272,75.00602697343624
Argentina,2010,161.15156133256514,1.504000034615347,112.757,45.19939473684211,26.282,28.77371857226721,0.01997705465281,76.21840590473936
Argentina,2011,169.15343745618654,1.7789999994909511,115.99,47.4095,27.332,26.21870477011671,0.021556369907307,77.44234608677644
Argentina,2012,174.9365245156033,1.866999965384652,119.85,49.11381578947368,28.538,24.01354959432573,0.278831717292743,77.72838089875923
Argentina,2013,175.76235208302123,1.756,120.922,46.57484613157895,29.413,25.8518613169776,0.337904989067779,79.47450409604993
Argentina,2014,171.37887867054914,2.143999965384652,126.243,47.29263868421054,28.179,31.822938845623632,0.45831498870452,80.43859096717716
Argentina,2015,178.6447164073315,2.053999930260256,129.122,47.79931686842107,29.932,30.45479248502026,0.422390842236332,82.01872760732861
Argentina,2016,177.7702096916339,1.604,128.781,48.10325805263158,29.76,27.867553107896665,0.383319781623882,82.05312142816238
Argentina,2017,174.4361818280011,1.661,129.001,49.18076918421054,28.304,30.631515334642696,0.431265365545468,80.98144071632696
Argentina,2018,163.29115831168895,1.810999965384652,128.744,47.01841739473684,26.0,29.63330355265924,0.999185410973302,79.08587953109497
Argentina,2019,155.18860784070165,1.037999965384652,125.619,45.16303700000001,25.056,32.34879101308309,3.9701349407493662,79.17931246966911
Argentina,2020,146.54969695645988,1.321311999999999,124.521896,43.34498605263158,24.552746348,25.72604436218236,7.422439874488991,72.92836122299238
Argentina,2021,171.9423102300778,1.8959999648756032,129.064,52.9958,26.540324,24.38386980771719,9.84141496839289,80.81892236692532
Argentina,2022,163.2892389960835,1.9730000346153471,124.413,44.320578947368425,27.290599,29.42008679902949,11.681645764275707,80.34843319368207
Argentina,2023,155.56620969059392,1.700463883038895,124.292,42.74453906533141,26.742,39.26515607420393,11.600905308877785,79.70319548083367
Argentina,2024,148.73500946051124,1.221383989348855,123.7060765005567,42.54352582098139,25.356196356097293,37.00436096011433,13.083641184560769,78.42924386893766
Australia,1990,272.806611101418,94.1,134.339,18.37607894736842,31.087,10.082635031834808,0.0,90.35556287093692
Australia,1991,273.488098271266,97.972,136.949,17.172131578947365,30.517,10.758968995906082,0.0,88.95545661070274
Australia,1992,278.5914560244997,100.71999999999998,138.566,17.79042105263158,30.353,10.30304929643674,0.0,91.13779468899244
Australia,1993,281.4832828524294,98.927,142.69,18.444552631578947,31.081,10.775435380384968,0.006721662083715,95.1232224098348
Australia,1994,282.7294493176377,99.435,146.499,19.258,31.885,10.3521374870867,0.010151496151388,95.23100668436663
Australia,1995,292.47590878364,101.706,151.119,20.70086842105263,33.029,9.808903955324295,0.013282589989547,97.2247660719532
Australia,1996,309.952220962775,109.236,155.147,20.735131578947367,34.231,9.394813004650953,0.014639804502302,104.13165401783678
Australia,1997,318.10720140312475,114.978,160.346,20.903105263157894,34.353,9.755710920033454,0.016398908925926,105.18181091762897
Australia,1998,335.8097874733392,125.08000000000004,170.054,21.746973684210527,34.784,8.598088744887878,0.018426669533037,108.03231963086886
