Type,Country,Year,Value,Unit
total-energy,Azerbaijan,2006,14.076216203305071,Mtep
total-energy,Azerbaijan,2007,12.286104053822344,Mtep
total-energy,Azerbaijan,2008,13.564539263040547,Mtep
total-energy,Azerbaijan,2009,12.148273820199433,Mtep
total-energy,Azerbaijan,2010,11.701192584411531,Mtep
total-energy,Azerbaijan,2011,12.60655995065284,Mtep
total-energy,Azerbaijan,2012,13.36473389706141,Mtep
total-energy,Azerbaijan,2013,13.646709798643467,Mtep
total-energy,Azerbaijan,2014,14.040206012515487,Mtep
total-energy,Azerbaijan,2015,14.465399331916899,Mtep
total-energy,Azerbaijan,2016,14.323219532833939,Mtep
total-energy,Azerbaijan,2017,14.474485244880059,Mtep
total-energy,Azerbaijan,2018,14.515680016068718,Mtep
total-energy,Azerbaijan,2019,15.869901019371856,Mtep
total-energy,Azerbaijan,2020,15.441570838168122,Mtep
total-energy,Azerbaijan,2021,16.342365986422532,Mtep
total-energy,Azerbaijan,2022,17.299715968568616,Mtep
total-energy,Azerbaijan,2023,17.412968082013403,Mtep
total-energy,Azerbaijan,2024,17.0426792723408,Mtep
total-energy,Belgium,1990,47.94537106009993,Mtep
total-energy,Belgium,1991,50.11913419264342,Mtep
total-energy,Belgium,1992,50.714195611265865,Mtep
total-energy,Belgium,1993,49.47117499367386,Mtep
total-energy,Belgium,1994,52.56612313793909,Mtep
total-energy,Belgium,1995,53.417715337980496,Mtep
total-energy,Belgium,1996,56.26048987347411,Mtep
total-energy,Belgium,1997,56.4704620334316,Mtep
total-energy,Belgium,1998,57.47307425015844,Mtep
total-energy,Belgium,1999,57.49024411335302,Mtep
total-energy,Belgium,2000,58.17520196429842,Mtep
total-energy,Belgium,2001,57.82308532930439,Mtep
total-energy,Belgium,2002,55.890542780047525,Mtep
total-energy,Belgium,2003,58.214778676986654,Mtep
total-energy,Belgium,2004,58.55124436900568,Mtep
total-energy,Belgium,2005,58.18354054307592,Mtep
total-energy,Belgium,2006,57.4684708611018,Mtep
total-energy,Belgium,2007,56.400062715172325,Mtep
total-energy,Belgium,2008,58.14272192117698,Mtep
total-energy,Belgium,2009,55.75505971394788,Mtep
total-energy,Belgium,2010,60.0528552504742,Mtep
total-energy,Belgium,2011,55.90590853653075,Mtep
total-energy,Belgium,2012,53.58547277889297,Mtep
