country,year,co2-emissions,coal-lignite,electricity,natural-gas,oil-products,renewables,renewables-wind-solar,total-energy
Algeria,1990,-0.3962702706070942,-0.19466858570003034,-0.4347956710443209,-0.22598799173688505,-0.25389296951936946,-0.5122824762156195,-0.07425381783133841,-0.3825976971902437
Algeria,1991,-0.3866067738568754,-0.19499870925522844,-0.4334250359378719,-0.19812860894355983,-0.24725192253643222,-0.4825941881316572,-0.07425381783133841,-0.3689280396561484
Algeria,1992,-0.3782425747397512,-0.19596037352471854,-0.42863438160414924,-0.18817730450408324,-0.23750972175583399,-0.5035616237466416,-0.07425381783133841,-0.36205467797971325
Algeria,1993,-0.36989533445467837,-0.19877360034292835,-0.4288839860804035,-0.125718611607827,-0.2483387827158586,-0.4780958616060608,-0.07425381783133841,-0.3493631014801949
Algeria,1994,-0.37279484947508507,-0.197295220943563,-0.42736884311928097,-0.12127025958348711,-0.2596061390220445,-0.5124090123577189,-0.07425381783133841,-0.34253263085941094
Algeria,1995,-0.3746283566313083,-0.19888842592734507,-0.4246450890099798,-0.1201973607475055,-0.2643397107874789,-0.5073737049349025,-0.07425381783133841,-0.35020571475016815
Algeria,1996,-0.3799647431737329,-0.20161553355724235,-0.42214466522153776,-0.12852071351373898,-0.2664511067565347,-0.5195701006287067,-0.07425381783133841,-0.35294163836945835
Algeria,1997,-0.37848064960067596,-0.202189661479326,-0.421089319979831,-0.10951533839699641,-0.2703800119727832,-0.529352927344571,-0.07425381783133841,-0.3429830948271608
Algeria,1998,-0.3666670138510205,-0.1981851192227926,-0.4167497053137258,-0.0907240550889119,-0.2627359916417757,-0.5267556883325247,-0.07425381783133841,-0.3294054257020839
Algeria,1999,-0.3551943027577189,-0.19769711048902153,-0.41107010872246597,-0.06277500991418289,-0.25631243510577817,-0.5273783083296993,-0.07425381783133841,-0.34677638963920565
Algeria,2000,-0.31653007073830897,-0.1988597195312409,-0.4040943204650435,0.03787802761557588,-0.22948241435688643,-0.5341158327811778,-0.07425381783133841,-0.3120374962886848
Algeria,2001,-0.3535291146378065,-0.19809900003448006,-0.40165082401329105,-0.062234595833068694,-0.2500529307422115,-0.532487701919633,-0.07425381783133841,-0.33380454695300266
Algeria,2002,-0.34478090497420333,-0.19524271362211398,-0.3969521292234516,-0.04889381037317608,-0.23687897672901537,-0.5343365858985138,-0.07425381783133841,-0.3244732111048091
Algeria,2003,-0.3399891614693282,-0.19416622376820716,-0.3883648594351243,-0.03888333948120222,-0.23164748647980135,-0.5102642712158575,-0.07425381783133841,-0.31587447302264876
Algeria,2004,-0.32918060669647237,-0.1990032515117618,-0.3842135428826845,-0.01348509755969564,-0.22405109488094577,-0.5135071005450127,-0.07425381783133841,-0.3088549228195567
Algeria,2005,-0.3174726047034748,-0.19652014824875008,-0.3770056662526046,-0.015895613247967705,-0.2078510036447798,-0.4826302871012094,-0.07425381783133841,-0.31477963279411536
Algeria,2006,-0.30319388627260224,-0.19466858570003034,-0.3718690688728453,0.0467637525971447,-0.21467492169986618,-0.5199384176692607,-0.07425381783133841,-0.28952915505656784
Algeria,2007,-0.29049547219136324,-0.19278831675520644,-0.36480132107153973,0.06973867042256768,-0.19609521231158247,-0.5203315716011583,-0.07425381783133841,-0.27498877379393627
Algeria,2008,-0.28047112793296325,-0.1928026699532585,-0.3560345112213453,0.07105066894229282,-0.1749188595105265,-0.5169907136224929,-0.07425381783133841,-0.2720213422022861
Algeria,2009,-0.2611910010423997,-0.20068257568385642,-0.3650771997031892,0.10112965313649137,-0.15822615185699032,-0.5138007033152168,-0.07425381783133841,-0.24870216014286384
Algeria,2010,-0.25786556866077376,-0.2026489638169929,-0.34058530784897467,0.0962805651626122,-0.15646817588188364,-0.5282558517857724,-0.07425381783133841,-0.2539459022133292
Algeria,2011,-0.23544245637537745,-0.20365368768063927,-0.3293312112880358,0.1508227407239026,-0.1449042421740716,-0.5073384788445328,-0.07425381783133841,-0.24209625466157614
Algeria,2012,-0.20641313956201987,-0.20372545367089973,-0.3079265326927558,0.2501698792156643,-0.12171186187862719,-0.5037215498420748,-0.07425381783133841,-0.213917446148542
Algeria,2013,-0.19569170210262046,-0.20562007581377573,-0.29750007202676537,0.2694448514247909,-0.10714807925916524,-0.5223056362674554,-0.07425381783133841,-0.20302326253242686
Algeria,2014,-0.1714628873454396,-0.20671091886573462,-0.2861540159219433,0.3469735338267876,-0.09777758346524786,-0.5203224030952519,-0.0065367805926262,-0.17448935913745867
Algeria,2015,-0.1495611629478951,-0.20688315724235973,-0.266509705738141,0.41490224193684844,-0.09031021762603311,-0.5249966586671245,-0.016566124029255388,-0.1581089098871523
Algeria,2016,-0.1599539429911791,-0.20995474162550717,-0.2572480659613372,0.4050951634025228,-0.09613250502982688,-0.5204025554085898,0.03636930524246639,-0.16166885674375725
Algeria,2017,-0.15232336764600418,-0.20472730689493565,-0.23870727030413277,0.4385588988350267,-0.1034224604495354,-0.512381633634182,0.0928594713441643,-0.14767410360251085
Algeria,2018,-0.131480025742229,-0.2012897159614599,-0.23155632101074242,0.5230519694742243,-0.0968711775037708,-0.5059546113675271,0.11595106689095458,-0.1248238822275955
Algeria,2019,-0.11713688157271337,-0.20276320813153353,-0.21259951789311424,0.5577060529230745,-0.0888377111441318,-0.5055802713761167,0.11088721790623769,-0.10843680165594638
Algeria,2020,-0.1453682758044126,-0.2067071941761951,-0.22784728607412172,0.513983808994167,-0.12618178191096532,-0.509679930436357,0.11226099920067883,-0.13600906403925947
Algeria,2021,-0.11503365851613626,-0.20333935264329847,-0.20767749278241562,0.6206830187817715,-0.12289252822044079,-0.5144819791024865,0.0935011981218717,-0.10362725903611576
Algeria,2022,-0.08649956656972792,-0.20575096262681275,-0.18186306504222885,0.6916892771229504,-0.09695146378270729,-0.5154872355781215,0.08554838395325746,-0.07509136965659799
Algeria,2023,-0.08697598632659868,-0.2062156315894902,-0.16417266311097806,0.7180895888455052,-0.08405471146491804,-0.5167815524171249,0.07453411645194918,-0.0884607201208886
Algeria,2024,-0.08614103551603142,-0.2062156315894902,-0.14486282146137247,0.7400760456091223,-0.09377064321710112,-0.5181297051246684,0.06642887024463,-0.1148643227103337
Argentina,1990,-0.2336492615785941,-0.19330759110143955,-0.31065904485385537,-0.0558680259847827,-0.06848072997838708,0.7085284918431805,-0.07425381783133841,-0.21689943003474269
Argentina,1991,-0.24502119652294152,-0.1935622933527816,-0.30645080096472616,-0.0628829417034543,-0.08004116063682484,0.525563631698664,-0.07425381783133841,-0.19930090585346347
Argentina,1992,-0.21670275608316228,-0.1897023791740069,-0.29393992397071744,-0.012806041904491623,-0.04837788923858502,0.6781714271662331,-0.07425381783133841,-0.1874192589035001
Argentina,1993,-0.20451875558114652,-0.19218548193287122,-0.27712884354369616,0.013534319789853552,-0.039494767285025024,0.8268543205108166,-0.07425381783133841,-0.19599942060159697
Argentina,1994,-0.19047842771126866,-0.18531030006591964,-0.259897376630352,0.02422471475868,-0.032536903203946074,0.9343526516841552,-0.07425381783133841,-0.1857848468377239
Argentina,1995,-0.19138586257493734,-0.18739151479176766,-0.24544221213709932,0.044164770424768525,-0.037062873639094114,0.8680019663312705,-0.07425381783133841,-0.1647110442162847
Argentina,1996,-0.16069414634745366,-0.18785081662528716,-0.2309520154366531,0.17222882816948137,-0.03825759895024266,0.6237843609574166,-0.07111558738741736,-0.14498449880494116
