country,year,co2-emissions,coal-lignite,electricity,natural-gas,oil-products,total-energy
0,1990,-0.3962702706070942,-0.1946685857000303,-0.4347956710443209,-0.225987991736885,-0.2538929695193694,-0.3825976971902437
0,1991,-0.3866067738568754,-0.1949987092552284,-0.4334250359378719,-0.1981286089435598,-0.2472519225364322,-0.3689280396561484
0,1992,-0.3782425747397512,-0.1959603735247185,-0.4286343816041492,-0.1881773045040832,-0.2375097217558339,-0.3620546779797132
0,1993,-0.3698953344546783,-0.1987736003429283,-0.4288839860804035,-0.125718611607827,-0.2483387827158586,-0.3493631014801949
0,1994,-0.372794849475085,-0.197295220943563,-0.4273688431192809,-0.1212702595834871,-0.2596061390220445,-0.3425326308594109
0,1995,-0.3746283566313083,-0.198888425927345,-0.4246450890099798,-0.1201973607475055,-0.2643397107874789,-0.3502057147501681
0,1996,-0.3799647431737329,-0.2016155335572423,-0.4221446652215377,-0.1285207135137389,-0.2664511067565347,-0.3529416383694583
0,1997,-0.3784806496006759,-0.202189661479326,-0.421089319979831,-0.1095153383969964,-0.2703800119727832,-0.3429830948271608
0,1998,-0.3666670138510205,-0.1981851192227926,-0.4167497053137258,-0.0907240550889119,-0.2627359916417757,-0.3294054257020839
0,1999,-0.3551943027577189,-0.1976971104890215,-0.4110701087224659,-0.0627750099141828,-0.2563124351057781,-0.3467763896392056
0,2000,-0.3165300707383089,-0.1988597195312409,-0.4040943204650435,0.0378780276155758,-0.2294824143568864,-0.3120374962886848
0,2001,-0.3535291146378065,-0.19809900003448,-0.401650824013291,-0.0622345958330686,-0.2500529307422115,-0.3338045469530026
0,2002,-0.3447809049742033,-0.1952427136221139,-0.3969521292234516,-0.048893810373176,-0.2368789767290153,-0.3244732111048091
0,2003,-0.3399891614693282,-0.1941662237682071,-0.3883648594351243,-0.0388833394812022,-0.2316474864798013,-0.3158744730226487
0,2004,-0.3291806066964723,-0.1990032515117618,-0.3842135428826845,-0.0134850975596956,-0.2240510948809457,-0.3088549228195567
0,2005,-0.3174726047034748,-0.19652014824875,-0.3770056662526046,-0.0158956132479677,-0.2078510036447798,-0.3147796327941153
0,2006,-0.3031938862726022,-0.1946685857000303,-0.3718690688728453,0.0467637525971447,-0.2146749216998661,-0.2895291550565678
0,2007,-0.2904954721913632,-0.1927883167552064,-0.3648013210715397,0.0697386704225676,-0.1960952123115824,-0.2749887737939362
0,2008,-0.2804711279329632,-0.1928026699532585,-0.3560345112213453,0.0710506689422928,-0.1749188595105265,-0.2720213422022861
0,2009,-0.2611910010423997,-0.2006825756838564,-0.3650771997031892,0.1011296531364913,-0.1582261518569903,-0.2487021601428638
0,2010,-0.2578655686607737,-0.2026489638169929,-0.3405853078489746,0.0962805651626122,-0.1564681758818836,-0.2539459022133292
0,2011,-0.2354424563753774,-0.2036536876806392,-0.3293312112880358,0.1508227407239026,-0.1449042421740716,-0.2420962546615761
0,2012,-0.2064131395620198,-0.2037254536708997,-0.3079265326927558,0.2501698792156643,-0.1217118618786271,-0.213917446148542
0,2013,-0.1956917021026204,-0.2056200758137757,-0.2975000720267653,0.2694448514247909,-0.1071480792591652,-0.2030232625324268
0,2014,-0.1714628873454396,-0.2067109188657346,-0.2861540159219433,0.3469735338267876,-0.0977775834652478,-0.1744893591374586
0,2015,-0.1495611629478951,-0.2068831572423597,-0.266509705738141,0.4149022419368484,-0.0903102176260331,-0.1581089098871523
0,2016,-0.1599539429911791,-0.2099547416255071,-0.2572480659613372,0.4050951634025228,-0.0961325050298268,-0.1616688567437572
0,2017,-0.1523233676460041,-0.2047273068949356,-0.2387072703041327,0.4385588988350267,-0.1034224604495354,-0.1476741036025108
0,2018,-0.131480025742229,-0.2012897159614599,-0.2315563210107424,0.5230519694742243,-0.0968711775037708,-0.1248238822275955
0,2019,-0.1171368815727133,-0.2027632081315335,-0.2125995178931142,0.5577060529230745,-0.0888377111441318,-0.1084368016559463
0,2020,-0.1453682758044126,-0.2067071941761951,-0.2278472860741217,0.513983808994167,-0.1261817819109653,-0.1360090640392594
0,2021,-0.1150336585161362,-0.2033393526432984,-0.2076774927824156,0.6206830187817715,-0.1228925282204407,-0.1036272590361157
0,2022,-0.0864995665697279,-0.2057509626268127,-0.1818630650422288,0.6916892771229504,-0.0969514637827072,-0.0750913696565979
0,2023,-0.0869759863265986,-0.2062156315894902,-0.164172663110978,0.7180895888455052,-0.084054711464918,-0.0884607201208886
0,2024,-0.0861410355160314,-0.2062156315894902,-0.1448628214613724,0.7400760456091223,-0.0937706432171011,-0.1148643227103337
1,1990,-0.2336492615785941,-0.1933075911014395,-0.3106590448538553,-0.0558680259847827,-0.068480729978387,-0.2168994300347426
1,1991,-0.2450211965229415,-0.1935622933527816,-0.3064508009647261,-0.0628829417034543,-0.0800411606368248,-0.1993009058534634
1,1992,-0.2167027560831622,-0.1897023791740069,-0.2939399239707174,-0.0128060419044916,-0.048377889238585,-0.1874192589035001
1,1993,-0.2045187555811465,-0.1921854819328712,-0.2771288435436961,0.0135343197898535,-0.039494767285025,-0.1959994206015969
1,1994,-0.1904784277112686,-0.1853103000659196,-0.259897376630352,0.02422471475868,-0.032536903203946,-0.1857848468377239
1,1995,-0.1913858625749373,-0.1873915147917676,-0.2454422121370993,0.0441647704247685,-0.0370628736390941,-0.1647110442162847
1,1996,-0.1606941463474536,-0.1878508166252871,-0.2309520154366531,0.1722288281694813,-0.0382575989502426,-0.1449844988049411
1,1997,-0.1731146816968412,-0.1900037968372482,-0.2137555807305025,0.1450534543691859,-0.0444299767861359,-0.1275562621149087
1,1998,-0.1566986513124403,-0.1897310855701111,-0.1923509021352225,0.1692652084042196,-0.0246211938166653,-0.1186970532362695
1,1999,-0.1345979130295944,-0.1887550686067163,-0.1794283967066892,0.2339792337005727,-0.0186365162046095,-0.1010047324973888
1,2000,-0.134554978560933,-0.1927452566569027,-0.1634843634077092,0.2776905222446461,-0.018813818565042,-0.1056399633205593
1,2001,-0.180781630723693,-0.1957004584826884,-0.1574150335114207,0.2229657807308134,-0.0710531229996349,-0.1289534100033935
1,2002,-0.204266885903686,-0.1983286448636231,-0.1650170224724285,0.2064934314541294,-0.1037611530685926,-0.1544991136629624
1,2003,-0.1781513135042762,-0.1966923866253751,-0.1413483874872632,0.2951742323530086,-0.0916004752224416,-0.1249734634255241
1,2004,-0.1294586739821995,-0.1939365720952263,-0.1164755203798185,0.3681625664235016,-0.0446028422732587,-0.0657827612455579
1,2005,-0.1077043995833232,-0.1910372270896922,-0.0944533991327516,0.3886520986103806,-0.0147172506964447,-0.0554605110741006
1,2006,-0.0888843172135345,-0.189085191160926,-0.0576476864499923,0.4268918097329986,0.0137490575243197,-0.0221757714770534
1,2007,-0.0733077511457168,-0.189659320083998,-0.0623069700067389,0.4849334413986029,0.0019109440772709,-0.0243752391246202
1,2008,-0.0409985855449461,-0.1885828307269321,-0.0210171348032008,0.5019290372859201,0.0390864910737934,-0.000588186657802
1,2009,-0.0699950360709147,-0.1924438395051153,-0.0239291870261675,0.4830316229957658,0.0155715463792469,-0.0144195909843992
1,2010,-0.050401899388382,-0.1883675312583215,0.003991482107119,0.4831792304535871,0.0397961327518181,-0.0061287804535457
1,2011,-0.0254759400400951,-0.1844204022981439,0.0181488728392261,0.5344051177992821,0.0567307637046809,0.002241091282398
1,2012,-0.0074615405763118,-0.1831573213590943,0.0350519128101305,0.5739078012634728,0.0761813969705404,0.0041971302485557
1,2013,-0.0048890758122812,-0.1847505258460355,0.0397462285740707,0.5150594849241792,0.0902935894312594,0.0161379321038841
1,2014,-0.0185436586120617,-0.1791814854986652,0.0630470253837034,0.5316965026498176,0.0703913660066569,0.0227308061446825
1,2015,0.004089530562619,-0.1804732738275007,0.0756542409474946,0.5434403050910663,0.0986641355879601,0.0335365147875026
1,2016,0.0013654295507408,-0.1869322119499533,0.074160993115868,0.5504850631492585,0.0958900817556817,0.0337717157173459
1,2017,-0.0090201152528891,-0.1861140796609841,0.0751243788136916,0.5754596490932461,0.0724073935010453,0.0264430649943845
1,2018,-0.0437370239892336,-0.1839611004500114,0.0739989691575977,0.5253405932202823,0.0352479747244779,0.0134803367329272
1,2019,-0.0689765853792278,-0.1950561225442777,0.0603145132226039,0.482336529717715,0.0200229350868565,0.0141192745856548
1,2020,-0.0958869171798444,-0.1909896888009028,0.0555102663924901,0.4401976892873008,0.0119063494941894,-0.0286276348876851
1,2021,-0.0167885611909838,-0.1827410786228902,0.075400257445341,0.663884549955547,0.0439624390435013,0.0253316889980797
1,2022,-0.0437430026849818,-0.1816358813718908,0.055033407988171,0.4628100112224301,0.0560630392703195,0.0221142653927511
1,2023,-0.0678003501795266,-0.1855476467318223,0.0545035458543681,0.4262805106618123,0.0472151139311676,0.017701830067075
1,2024,-0.0890796372622649,-0.1924239753287301,0.0519377716753572,0.4216214195399017,0.0248645679477154,0.0089899569331922
