country,year,co2-emissions,coal-lignite,electricity,natural-gas,oil-products,renewables,renewables-wind-solar,total-energy,renewable_share
0,1990,-0.3962702706070942,-0.1946685857000303,-0.4347956710443209,-0.225987991736885,-0.2538929695193694,-0.5122824762156195,-0.0742538178313384,-0.3825976971902437,0.039604648109123765
0,1991,-0.3866067738568754,-0.1949987092552284,-0.4334250359378719,-0.1981286089435598,-0.2472519225364322,-0.4825941881316572,-0.0742538178313384,-0.3689280396561484,0.07292029939410227
0,1992,-0.3782425747397512,-0.1959603735247185,-0.4286343816041492,-0.1881773045040832,-0.2375097217558339,-0.5035616237466416,-0.0742538178313384,-0.3620546779797132,0.045023972780383226
0,1993,-0.3698953344546783,-0.1987736003429283,-0.4288839860804035,-0.125718611607827,-0.2483387827158586,-0.4780958616060608,-0.0742538178313384,-0.3493631014801949,0.06985837464482215
0,1994,-0.372794849475085,-0.197295220943563,-0.4273688431192809,-0.1212702595834871,-0.2596061390220445,-0.5124090123577189,-0.0742538178313384,-0.3425326308594109,0.030884672702254944
0,1995,-0.3746283566313083,-0.198888425927345,-0.4246450890099798,-0.1201973607475055,-0.2643397107874789,-0.5073737049349025,-0.0742538178313384,-0.3502057147501681,0.0377941569825816
0,1996,-0.3799647431737329,-0.2016155335572423,-0.4221446652215377,-0.1285207135137389,-0.2664511067565347,-0.5195701006287067,-0.0742538178313384,-0.3529416383694583,0.02467978070360512
0,1997,-0.3784806496006759,-0.202189661479326,-0.421089319979831,-0.1095153383969964,-0.2703800119727832,-0.529352927344571,-0.0742538178313384,-0.3429830948271608,0.012945860628826694
0,1998,-0.3666670138510205,-0.1981851192227926,-0.4167497053137258,-0.0907240550889119,-0.2627359916417757,-0.5267556883325247,-0.0742538178313384,-0.3294054257020839,0.01462973912115228
0,1999,-0.3551943027577189,-0.1976971104890215,-0.4110701087224659,-0.0627750099141828,-0.2563124351057781,-0.5273783083296993,-0.0742538178313384,-0.3467763896392056,0.015361278999307448
0,2000,-0.3165300707383089,-0.1988597195312409,-0.4040943204650435,0.0378780276155758,-0.2294824143568864,-0.5341158327811778,-0.0742538178313384,-0.3120374962886848,0.006749211342512229
0,2001,-0.3535291146378065,-0.19809900003448,-0.401650824013291,-0.0622345958330686,-0.2500529307422115,-0.532487701919633,-0.0742538178313384,-0.3338045469530026,0.009157167612322565
0,2002,-0.3447809049742033,-0.1952427136221139,-0.3969521292234516,-0.048893810373176,-0.2368789767290153,-0.5343365858985138,-0.0742538178313384,-0.3244732111048091,0.006949641200063079
0,2003,-0.3399891614693282,-0.1941662237682071,-0.3883648594351243,-0.0388833394812022,-0.2316474864798013,-0.5102642712158575,-0.0742538178313384,-0.3158744730226487,0.028979258661734723
0,2004,-0.3291806066964723,-0.1990032515117618,-0.3842135428826845,-0.0134850975596956,-0.2240510948809457,-0.5135071005450127,-0.0742538178313384,-0.3088549228195567,0.025139074289384517
0,2005,-0.3174726047034748,-0.19652014824875,-0.3770056662526046,-0.0158956132479677,-0.2078510036447798,-0.4826302871012094,-0.0742538178313384,-0.3147796327941153,0.054311522500913235
0,2006,-0.3031938862726022,-0.1946685857000303,-0.3718690688728453,0.0467637525971447,-0.2146749216998661,-0.5199384176692607,-0.0742538178313384,-0.2895291550565678,0.01779548308198959
0,2007,-0.2904954721913632,-0.1927883167552064,-0.3648013210715397,0.0697386704225676,-0.1960952123115824,-0.5203315716011583,-0.0742538178313384,-0.2749887737939362,0.0164647693555599
0,2008,-0.2804711279329632,-0.1928026699532585,-0.3560345112213453,0.0710506689422928,-0.1749188595105265,-0.5169907136224929,-0.0742538178313384,-0.2720213422022861,0.018838142039117333
