Country,Year,co2-emissions,coal-lignite,electricity,natural-gas,oil-products
0,1990,-0.3962702706070942,-0.19466858570003034,-0.4347956710443209,-0.22598799173688505,-0.25389296951936946
0,1991,-0.3866067738568754,-0.19499870925522844,-0.4334250359378719,-0.19812860894355983,-0.24725192253643222
0,1992,-0.3782425747397512,-0.19596037352471854,-0.42863438160414924,-0.18817730450408324,-0.23750972175583399
0,1993,-0.36989533445467837,-0.19877360034292835,-0.4288839860804035,-0.125718611607827,-0.2483387827158586
0,1994,-0.37279484947508507,-0.197295220943563,-0.42736884311928097,-0.12127025958348711,-0.2596061390220445
0,1995,-0.3746283566313083,-0.19888842592734507,-0.4246450890099798,-0.1201973607475055,-0.2643397107874789
0,1996,-0.3799647431737329,-0.20161553355724235,-0.42214466522153776,-0.12852071351373898,-0.2664511067565347
0,1997,-0.37848064960067596,-0.202189661479326,-0.421089319979831,-0.10951533839699641,-0.2703800119727832
0,1998,-0.3666670138510205,-0.1981851192227926,-0.4167497053137258,-0.0907240550889119,-0.2627359916417757
0,1999,-0.3551943027577189,-0.19769711048902153,-0.41107010872246597,-0.06277500991418289,-0.25631243510577817
0,2000,-0.31653007073830897,-0.1988597195312409,-0.4040943204650435,0.03787802761557588,-0.22948241435688643
0,2001,-0.3535291146378065,-0.19809900003448006,-0.40165082401329105,-0.062234595833068694,-0.2500529307422115
0,2002,-0.34478090497420333,-0.19524271362211398,-0.3969521292234516,-0.04889381037317608,-0.23687897672901537
0,2003,-0.3399891614693282,-0.19416622376820716,-0.3883648594351243,-0.03888333948120222,-0.23164748647980135
0,2004,-0.32918060669647237,-0.1990032515117618,-0.3842135428826845,-0.01348509755969564,-0.22405109488094577
0,2005,-0.3174726047034748,-0.19652014824875008,-0.3770056662526046,-0.015895613247967705,-0.2078510036447798
0,2006,-0.30319388627260224,-0.19466858570003034,-0.3718690688728453,0.0467637525971447,-0.21467492169986618
0,2007,-0.29049547219136324,-0.19278831675520644,-0.36480132107153973,0.06973867042256768,-0.19609521231158247
0,2008,-0.28047112793296325,-0.1928026699532585,-0.3560345112213453,0.07105066894229282,-0.1749188595105265
0,2009,-0.2611910010423997,-0.20068257568385642,-0.3650771997031892,0.10112965313649137,-0.15822615185699032
0,2010,-0.25786556866077376,-0.2026489638169929,-0.34058530784897467,0.0962805651626122,-0.15646817588188364
0,2011,-0.23544245637537745,-0.20365368768063927,-0.3293312112880358,0.1508227407239026,-0.1449042421740716
0,2012,-0.20641313956201987,-0.20372545367089973,-0.3079265326927558,0.2501698792156643,-0.12171186187862719
0,2013,-0.19569170210262046,-0.20562007581377573,-0.29750007202676537,0.2694448514247909,-0.10714807925916524
0,2014,-0.1714628873454396,-0.20671091886573462,-0.2861540159219433,0.3469735338267876,-0.09777758346524786
0,2015,-0.1495611629478951,-0.20688315724235973,-0.266509705738141,0.41490224193684844,-0.09031021762603311
0,2016,-0.1599539429911791,-0.20995474162550717,-0.2572480659613372,0.4050951634025228,-0.09613250502982688
0,2017,-0.15232336764600418,-0.20472730689493565,-0.23870727030413277,0.4385588988350267,-0.1034224604495354
0,2018,-0.131480025742229,-0.2012897159614599,-0.23155632101074242,0.5230519694742243,-0.0968711775037708
0,2019,-0.11713688157271337,-0.20276320813153353,-0.21259951789311424,0.5577060529230745,-0.0888377111441318
0,2020,-0.1453682758044126,-0.2067071941761951,-0.22784728607412172,0.513983808994167,-0.12618178191096532
0,2021,-0.11503365851613626,-0.20333935264329847,-0.20767749278241562,0.6206830187817715,-0.12289252822044079
0,2022,-0.08649956656972792,-0.20575096262681275,-0.18186306504222885,0.6916892771229504,-0.09695146378270729
0,2023,-0.08697598632659868,-0.2062156315894902,-0.16417266311097806,0.7180895888455052,-0.08405471146491804
0,2024,-0.08614103551603142,-0.2062156315894902,-0.14486282146137247,0.7400760456091223,-0.09377064321710112
1,1990,-0.2336492615785941,-0.19330759110143955,-0.31065904485385537,-0.0558680259847827,-0.06848072997838708
1,1991,-0.24502119652294152,-0.1935622933527816,-0.30645080096472616,-0.0628829417034543,-0.08004116063682484
1,1992,-0.21670275608316228,-0.1897023791740069,-0.29393992397071744,-0.012806041904491623,-0.04837788923858502
1,1993,-0.20451875558114652,-0.19218548193287122,-0.27712884354369616,0.013534319789853552,-0.039494767285025024
1,1994,-0.19047842771126866,-0.18531030006591964,-0.259897376630352,0.02422471475868,-0.032536903203946074
1,1995,-0.19138586257493734,-0.18739151479176766,-0.24544221213709932,0.044164770424768525,-0.037062873639094114
1,1996,-0.16069414634745366,-0.18785081662528716,-0.2309520154366531,0.17222882816948137,-0.03825759895024266
1,1997,-0.17311468169684124,-0.19000379683724822,-0.2137555807305025,0.14505345436918596,-0.04442997678613596
1,1998,-0.15669865131244032,-0.1897310855701111,-0.19235090213522255,0.16926520840421966,-0.024621193816665325
1,1999,-0.13459791302959442,-0.18875506860671631,-0.17942839670668922,0.23397923370057275,-0.018636516204609592
1,2000,-0.13455497856093304,-0.19274525665690276,-0.16348436340770922,0.2776905222446461,-0.01881381856504206
1,2001,-0.18078163072369308,-0.1957004584826884,-0.15741503351142078,0.22296578073081347,-0.0710531229996349
1,2002,-0.20426688590368608,-0.19832864486362317,-0.1650170224724285,0.20649343145412943,-0.10376115306859267
1,2003,-0.1781513135042762,-0.19669238662537517,-0.14134838748726328,0.2951742323530086,-0.09160047522244168
1,2004,-0.1294586739821995,-0.1939365720952263,-0.1164755203798185,0.36816256642350165,-0.04460284227325878
1,2005,-0.10770439958332327,-0.19103722708969229,-0.09445339913275168,0.3886520986103806,-0.01471725069644476
1,2006,-0.08888431721353457,-0.18908519116092604,-0.05764768644999233,0.4268918097329986,0.01374905752431979
1,2007,-0.07330775114571687,-0.18965932008399802,-0.06230697000673899,0.48493344139860295,0.0019109440772709374
1,2008,-0.04099858554494616,-0.18858283072693213,-0.021017134803200867,0.5019290372859201,0.039086491073793465
1,2009,-0.06999503607091473,-0.19244383950511532,-0.023929187026167576,0.4830316229957658,0.015571546379246917
1,2010,-0.05040189938838202,-0.1883675312583215,0.00399148210711901,0.4831792304535871,0.039796132751818196
1,2011,-0.02547594004009517,-0.1844204022981439,0.01814887283922616,0.5344051177992821,0.05673076370468097
1,2012,-0.007461540576311811,-0.18315732135909435,0.03505191281013051,0.5739078012634728,0.07618139697054047
1,2013,-0.004889075812281234,-0.18475052584603552,0.03974622857407079,0.5150594849241792,0.09029358943125944
1,2014,-0.018543658612061784,-0.1791814854986652,0.06304702538370344,0.5316965026498176,0.0703913660066569
1,2015,0.004089530562619093,-0.18047327382750078,0.07565424094749462,0.5434403050910663,0.09866413558796014
1,2016,0.0013654295507408171,-0.18693221194995335,0.07416099311586806,0.5504850631492585,0.09589008175568173
1,2017,-0.00902011525288913,-0.18611407966098414,0.07512437881369162,0.5754596490932461,0.07240739350104532
1,2018,-0.0437370239892336,-0.18396110045001143,0.07399896915759771,0.5253405932202823,0.035247974724477917
1,2019,-0.06897658537922788,-0.19505612254427776,0.0603145132226039,0.48233652971771507,0.020022935086856552
1,2020,-0.09588691717984442,-0.19098968880090283,0.05551026639249015,0.4401976892873008,0.01190634949418946
1,2021,-0.016788561190983847,-0.1827410786228902,0.07540025744534104,0.663884549955547,0.043962439043501327
1,2022,-0.043743002684981803,-0.18163588137189082,0.05503340798817107,0.46281001122243015,0.05606303927031956
1,2023,-0.06780035017952661,-0.18554764673182234,0.05450354585436814,0.42628051066181233,0.04721511393116761
1,2024,-0.08907963726226491,-0.19242397532873015,0.0519377716753572,0.4216214195399017,0.024864567947715417
2,1990,0.29740518842114827,1.140681195076249,0.09849961906361061,-0.1385324028223246,0.11729222963610919
2,1991,0.2995280307683154,1.1962567779339452,0.1099288766605175,-0.16643753172861095,0.10809914426169798
2,1992,0.31542506365556017,1.235699366181091,0.11700976153952065,-0.1521067994083224,0.1054541161890604
2,1993,0.32443314586549066,1.2099640820736923,0.13506886434781326,-0.13694531767665993,0.11719546031637855
2,1994,0.3283149723488183,1.2172555066841542,0.1517485739978585,-0.11809120970677543,0.1301625491602849
2,1995,0.3586753339297912,1.249851619460453,0.17197967365215336,-0.08464836133950175,0.1486132327889278
2,1996,0.4131142980183709,1.3579312007926978,0.18961838997412295,-0.08385420881849659,0.16799935317496686
2,1997,0.43851717951789576,1.4403472640078037,0.2123849456240535,-0.07996090963141843,0.16996699600948995
2,1998,0.4936609900354244,1.5853432707300268,0.2548965290534679,-0.06040170157375974,0.1769182588101412
2,1999,0.5140064955111253,1.6220300449511709,0.27855640598683473,-0.040543008963248875,0.1841598295699844
2,2000,0.5305472293529601,1.625403046493412,0.29780222481381,-0.01402917183915372,0.20159443534145552
2,2001,0.5165860421818914,1.6282162733116214,0.3336357937469474,0.015325193925741073,0.19775591899213998
2,2002,0.5413990969293019,1.656161949919043,0.37614299815046254,0.07244745025803896,0.18933698817557393
2,2003,0.5095732146134083,1.660117339934418,0.3588414668227312,0.03310396326695285,0.22767376700886413
2,2004,0.5483013883576155,1.7371869913008828,0.3784376077216423,0.05247530728738445,0.2478662983926586
2,2005,0.5493929359847991,1.7645785456337104,0.38016294392592637,0.04578417583160387,0.2518822251614804
2,2006,0.563239948700394,1.8029711507001418,0.39704408876733466,0.047220603778583246,0.25755935858567813
2,2007,0.5940581431205989,1.8147993591153777,0.43921410817661166,0.13231264352348548,0.26573636610291756
2,2008,0.6066719252081826,1.8027442450684754,0.4429975865535187,0.1557993078658999,0.2843967165909769
2,2009,0.625036333268323,1.8641543718525617,0.4760066837816734,0.17644300377482383,0.271494140626891
2,2010,0.6512378600257797,1.7013435696961667,0.4859602096505504,0.19504703299385412,0.3053311460927063
2,2011,0.6479895792940326,1.6313883300811336,0.49861559449923276,0.20492575360076595,0.3409261275336283
2,2012,0.6517348679481596,1.612571287434843,0.48887226187351723,0.23991055094891595,0.35987678598087947
2,2013,0.6268618660765528,1.4561357818651044,0.48793077130518964,0.26507335287022626,0.3829562687366381
2,2014,0.5988289959986256,1.3833076549487942,0.4877468522174233,0.28345414105800604,0.3769726991332933
2,2015,0.6118468040791453,1.4545856364754777,0.5053899475652921,0.2914902082348435,0.3541996525566817
2,2016,0.6252250778921834,1.4888467202258195,0.5238387836786134,0.29855035833517785,0.3568285524093641
2,2017,0.667609164203658,1.504419940112338,0.5254486274538319,0.329387237901145,0.36628841467005274
2,2018,0.6576188525694887,1.3745378509389674,0.5417201199305282,0.3588587387230952,0.3866140683813567
2,2019,0.6513046373415785,1.3208568902241469,0.5565916027950434,0.37852850110697295,0.3849844891653126
2,2020,0.6016496637608529,1.2381681162460507,0.5615613724251208,0.41264054435288,0.3456531959049306
2,2021,0.5777958795716208,1.2116290530477352,0.557551997618178,0.3756650298756015,0.3418986914533612
2,2022,0.5572162944896427,1.1530249454010475,0.577710098910733,0.37499483895160163,0.3382020873114306
2,2023,0.5687363441151828,1.1012019812040108,0.5918624708321735,0.3834556527874726,0.38565401900529084
2,2024,0.5737678621311062,1.1163986811076154,0.6145657286185059,0.34769924223023485,0.39905121732990484
3,1990,-0.38844956036479134,-0.207084102015089,-0.4134435407598313,-0.15086482196809675,-0.2598178093542118
3,1991,-0.3934341498407158,-0.20780176191769353,-0.4121123168864751,-0.15058631672017003,-0.26283378648581684
3,1992,-0.44028485862841554,-0.20995474162550717,-0.42710172253942996,-0.4926170763121979,-0.21836924047302914
3,1993,-0.41652115850363436,-0.20986862243719462,-0.4236072598718699,-0.39305828580446933,-0.2243528294302379
3,1994,-0.4442514838257548,-0.20983991604109048,-0.42691780345166364,-0.40533898231592663,-0.2665923278308411
3,1995,-0.4568959123125387,-0.20995474162550717,-0.43038161293792926,-0.4207596920210354,-0.2786075146175989
3,1996,-0.4650235856157643,-0.20995474162550717,-0.4294970497062912,-0.41891825848730696,-0.2918493686551265
3,1997,-0.4723970418825252,-0.20995474162550717,-0.43222518284149164,-0.4273135851379326,-0.3005423292184838
3,1998,-0.46849943099377417,-0.20995474162550717,-0.42361163889776915,-0.4330409984806655,-0.29107521087163735
3,1999,-0.4701743249529165,-0.20995474162550717,-0.4236028808459707,-0.4195343061418501,-0.2964619347288575
3,2000,-0.46512962860965684,-0.20995474162550717,-0.42232420528340486,-0.4228664530099385,-0.2868487059989718
3,2001,-0.47068947712159376,-0.20995474162550717,-0.4195479028633134,-0.35894754418796315,-0.3257015878708254
3,2002,-0.4728239070302168,-0.20995474162550717,-0.4225081243711712,-0.3583723630609986,-0.3292014116010838
3,2003,-0.46388158507399285,-0.20995474162550717,-0.4134785729670249,-0.35301396836281884,-0.3168310668955164
3,2004,-0.4587328152998398,-0.20995474162550717,-0.4109956652821796,-0.33354442268656403,-0.31200872912893923
3,2005,-0.4549464535624003,-0.20995474162550717,-0.4064020671139209,-0.3346874655624193,-0.30508972276819823
3,2006,-0.4514973229479185,-0.20995474162550717,-0.3995094803485832,-0.31067258610234705,-0.3121054984486699
3,2007,-0.46897389110432136,-0.20983991604109048,-0.4159264484446766,-0.3469498026338748,-0.3256532032109601
3,2008,-0.46231362767900935,-0.20986862243719462,-0.4169161082978953,-0.30809433517585805,-0.3265563835284461
3,2009,-0.4760157932669634,-0.20986862243719462,-0.4309377492271274,-0.3320818889577882,-0.3358946228824533
